Date,DownstateNY_Bench,NorthNJ_Bench,UpstateNY_Bench,NY_Bench,NJ_Bench,PR_Bench,VI_Bench,NYC_Bench,LongIsland_Bench,PtnmRcklndWstchtr_Bench,Poughkeepsie_Bench,Kingston_Bench,BrgnHdsnPassc_Bench,NewBrunswick_Bench,Newark_Bench,Albany_Bench,Binghamton_Bench,Buffalo_Bench,Elmira_Bench,GlensFalls_Bench,Ithaca_Bench,Rochester_Bench,Syracuse_Bench,Utica_Bench,Watertown_Bench
01/31/2000,5762501.4235,2918566.7408,2274682.2295,8545474.6854,3965264.4113,1006957.9935,40152.186875,3698658.0525,1209630.7741,547134.18204,243957.21158,63121.203355,913440.52406,998803.4763,1006322.7405,430269.769,118451.85874,554604.85751,43435.22075,53369.331919,51371.320313,526438.18541,321585.80907,135974.7082,39181.168577
02/29/2000,5768931.1917,2918980.7947,2275394.2261,8552757.1937,3969283.5807,1010155.6283,40115.196226,3701392.1651,1212111.8971,547601.44166,244030.4902,63795.197648,912535.20961,1000522.2598,1005923.3253,430971.78513,118277.71318,554534.14714,42940.937493,53153.629399,50948.005097,527634.23679,321474.36153,136236.2978,39223.112581
03/31/2000,5780702.0046,2930873.2589,2276819.6598,8569908.8308,3987699.1086,1013470.7674,40275.174291,3709227.1611,1214137.4285,548782.49645,244149.51802,64405.400542,916909.20547,1005135.4735,1008828.5799,431193.40242,118242.36887,554657.29449,42978.538859,53242.683559,50787.72003,528377.67456,321959.75164,136147.78318,39232.442193
04/30/2000,5815520.5026,2936518.1341,2286369.7551,8606739.6019,3990057.691,1021284.4167,40823.470197,3732236.9344,1223669.6563,551208.6054,244348.09526,64057.211257,926389.61344,1002042.027,1008086.4937,433312.1859,117924.40477,556594.54974,43031.349203,53376.000183,50910.862886,531844.50232,324049.22153,136280.70032,39045.978255
05/31/2000,5816917.9401,2933716.4004,2281851.5802,8607140.0269,3991132.6379,1025001.2934,41117.78167,3733247.8563,1223817.137,551094.81971,244411.93743,64346.189687,924561.91658,1001636.4018,1007518.0821,433258.99737,118100.85726,556207.52415,43252.222397,52895.777273,51184.431253,529101.84165,322579.76526,136168.22212,39101.94146
06/30/2000,5817313.5729,2945630.1693,2286898.5869,8616862.2063,4000326.9573,1056957.7935,41607.324085,3733855.3153,1222376.6216,552257.39372,244635.1739,64189.068378,929606.80292,1004728.4787,1011294.8877,435395.61505,118575.58322,556285.8972,43594.784991,53054.878642,51071.540398,531104.6474,322720.15167,135940.52691,39154.961388
07/31/2000,5819881.7466,2945236.5108,2285503.95,8633305.4644,4009571.1662,1048390.7735,41911.37279,3735870.6799,1222930.8805,552286.51394,244978.68989,63814.982351,930729.0845,1004673.4966,1009833.9297,433396.23317,118925.75041,558074.99183,43173.020449,52546.647433,51159.18316,530849.30817,322852.50236,135614.16386,38912.149137
08/31/2000,5813629.1843,2942784.2551,2279104.9593,8609515.0734,4011094.254,1023598.0475,42596.584189,3732432.0871,1221386.6092,551002.46181,245337.13771,63470.888491,930295.70395,1002420.4956,1010068.0556,431510.38797,119009.11058,558105.81344,42999.802718,52624.544915,51346.687884,530386.48915,319638.36316,134760.09624,38723.663282
09/30/2000,5846754.3141,2947732.7653,2289605.9047,8654592.9002,4015982.6972,1019778.7986,42373.225826,3750570.2594,1231736.4427,554770.41366,245709.5339,63967.66446,932746.96225,1003975.2455,1011010.5576,435284.86988,119249.0592,557932.04804,43194.287411,53152.229275,51327.803996,531744.68771,322839.29514,135999.27234,38882.35171
10/31/2000,5857996.2131,2954637.6375,2288481.0055,8665289.2521,4005892.3305,1027607.0336,42212.707162,3763021.9759,1230021.2248,554905.74577,246061.992,63985.274598,933064.40703,1012535.5735,1009037.657,436490.056,119198.1899,558614.56003,43645.309893,52978.659194,51318.482684,528712.06793,323215.69112,135318.9079,38989.08089
11/30/2000,5867540.6194,2958900.156,2289341.0593,8678014.8154,4013476.5811,1028712.6457,43042.023866,3769544.0921,1231069.4402,555609.83805,247007.47537,64309.773764,932734.78036,1015077.6879,1011087.6878,437220.98452,119710.55671,558273.03272,43530.246234,52925.963594,51655.225675,528633.06423,322909.00127,135175.35454,39307.629797
12/31/2000,5874674.8618,2966262.0051,2287468.8449,8682434.5326,4028916.0462,1021155.4871,43025.320259,3771701.9828,1234276.515,556618.6758,247871.97424,64205.713879,934187.67021,1017961.7784,1014112.5565,438684.37881,119431.0792,555046.5095,43389.188625,52894.716734,51596.800193,528916.63935,323095.33925,135089.40737,39324.785897
01/31/2001,5877716.5639,2967692.0675,2291407.0422,8681322.0149,4006267.6855,1015624.7463,44445.720993,3774141.4204,1229555.2947,559562.38685,250403.19454,64054.267318,933775.34791,1017999.0039,1015917.7157,438786.78237,119837.64962,555641.16096,43447.078567,53165.047188,52564.407016,530702.94578,322199.56364,135906.83762,39155.569439
02/28/2001,5867625.8893,2969788.9223,2288331.602,8673035.2185,4013150.9232,1015467.2157,44179.641774,3765039.6226,1230412.7405,558996.97394,249306.94911,63869.603196,933691.19544,1019924.4105,1016173.3164,438354.47858,119927.73842,554035.45154,43454.244039,52709.834736,51697.375333,530280.72776,323313.04814,135561.43418,38997.26925
